Expiration,Strike,Mid_Matrix
0.0109589041096,105.0,74.45
0.0109589041096,110.0,69.525
0.0109589041096,115.0,64.475
0.0109589041096,120.0,59.575
0.0109589041096,125.0,54.575
0.0109589041096,130.0,49.65
0.0109589041096,135.0,44.675
0.0109589041096,140.0,39.7
0.0109589041096,141.0,38.825
0.0109589041096,142.0,37.825
0.0109589041096,143.0,36.825
0.0109589041096,144.0,35.825
0.0109589041096,145.0,34.625
0.0109589041096,146.0,33.825
0.0109589041096,147.0,32.825
0.0109589041096,148.0,31.875
0.0109589041096,149.0,30.825
0.0109589041096,150.0,29.6
0.0109589041096,152.5,27.475
0.0109589041096,155.0,24.675
0.0109589041096,157.5,22.55
0.0109589041096,160.0,19.9
0.0109589041096,162.5,17.7
0.0109589041096,165.0,14.95
0.0109589041096,167.5,12.5
0.0109589041096,170.0,10.275
0.0109589041096,172.5,8.2
0.0109589041096,175.0,6.1
0.0109589041096,177.5,4.125
0.0109589041096,180.0,2.615
0.0109589041096,182.5,1.475
0.0109589041096,185.0,0.74
0.0109589041096,187.5,0.34
0.0109589041096,190.0,0.15
0.0109589041096,192.5,0.245
0.0109589041096,195.0,0.075
0.0109589041096,197.5,0.07
0.0109589041096,200.0,0.045
0.0109589041096,202.5,0.055
0.0109589041096,205.0,0.07
0.0109589041096,207.5,0.2
0.0109589041096,210.0,0.195
0.0109589041096,212.5,0.22
0.0109589041096,215.0,0.275
0.0109589041096,217.5,0.255
0.0109589041096,220.0,0.285
0.0109589041096,222.5,0.255
0.0109589041096,225.0,0.035
0.0109589041096,227.5,0.255
0.0109589041096,230.0,0.255
0.0109589041096,232.5,0.255
0.0109589041096,235.0,0.255
0.0109589041096,240.0,0.255
0.0109589041096,245.0,0.255
0.0301369863014,115.0,64.25
0.0301369863014,120.0,59.525
0.0301369863014,125.0,54.675
0.0301369863014,130.0,49.625
0.0301369863014,135.0,44.625
0.0301369863014,140.0,39.625
0.0301369863014,145.0,34.45
0.0301369863014,148.0,31.475
0.0301369863014,149.0,30.575
0.0301369863014,150.0,29.5
0.0301369863014,152.5,27.125
0.0301369863014,155.0,24.625
0.0301369863014,157.5,22.525
0.0301369863014,160.0,20.075
0.0301369863014,162.5,17.55
0.0301369863014,165.0,15.3
0.0301369863014,167.5,13.1
0.0301369863014,170.0,11.05
0.0301369863014,172.5,8.825
0.0301369863014,175.0,7.05
0.0301369863014,177.5,5.225
0.0301369863014,180.0,3.725
0.0301369863014,182.5,2.51
0.0301369863014,185.0,1.57
0.0301369863014,187.5,0.97
0.0301369863014,190.0,0.57
0.0301369863014,192.5,0.305
0.0301369863014,195.0,0.28
0.0301369863014,197.5,0.215
0.0301369863014,200.0,0.12
0.0301369863014,202.5,0.205
0.0301369863014,205.0,0.07
0.0301369863014,207.5,0.215
0.0301369863014,210.0,0.2
0.0301369863014,212.5,0.24
0.0301369863014,215.0,0.215
0.0301369863014,217.5,0.27
0.0301369863014,220.0,0.265
0.0301369863014,225.0,0.25
0.0301369863014,230.0,0.25
0.0493150684932,95.0,84.275
0.0493150684932,100.0,79.275
0.0493150684932,105.0,74.6
0.0493150684932,110.0,69.575
0.0493150684932,115.0,64.3
0.0493150684932,120.0,59.825
0.0493150684932,125.0,54.85
0.0493150684932,130.0,49.875
0.0493150684932,135.0,44.625
0.0493150684932,140.0,40.275
0.0493150684932,141.0,39.375
0.0493150684932,142.0,37.925
0.0493150684932,143.0,36.25
0.0493150684932,144.0,35.95
0.0493150684932,145.0,34.775
0.0493150684932,146.0,34.0
0.0493150684932,147.0,33.475
0.0493150684932,148.0,32.25
0.0493150684932,149.0,31.45
0.0493150684932,150.0,30.475
0.0493150684932,152.5,28.05
0.0493150684932,155.0,25.475
0.0493150684932,157.5,22.85
0.0493150684932,160.0,20.525
0.0493150684932,162.5,18.4
0.0493150684932,165.0,16.15
0.0493150684932,167.5,13.45
0.0493150684932,170.0,11.425
0.0493150684932,172.5,9.425
0.0493150684932,175.0,7.775
0.0493150684932,177.5,6.225
0.0493150684932,180.0,4.775
0.0493150684932,182.5,3.55
0.0493150684932,185.0,2.48
0.0493150684932,187.5,1.735
0.0493150684932,190.0,1.17
0.0493150684932,192.5,0.755
